Dia,Hora,Animal,Peso
26/07/2021,7:30,1,9
26/07/2021,7:30,2,9.3
26/07/2021,7:30,3,9.2
26/07/2021,7:30,4,9.3
26/07/2021,7:30,5,9.1
26/07/2021,7:30,6,9.3
26/07/2021,7:30,7,9.4
26/07/2021,7:30,8,10.2
26/07/2021,7:30,9,9.4
26/07/2021,7:30,10,9
28/07/2021,7:32,1,7.7
28/07/2021,7:32,2,9.9
28/07/2021,7:32,3,8.2
28/07/2021,7:32,4,9.5
28/07/2021,7:32,5,7.7
28/07/2021,7:32,6,9.7
28/07/2021,7:32,7,10.1
28/07/2021,7:32,8,7.8
28/07/2021,7:32,9,7.9
28/07/2021,7:32,10,8.3
30/07/2021,7:32,1,9.8
30/07/2021,7:32,2,10.5
30/07/2021,7:32,3,10.1
30/07/2021,7:32,4,9.7
30/07/2021,7:32,5,9.5
30/07/2021,7:32,6,9.9
30/07/2021,7:32,7,10.3
30/07/2021,7:32,8,9.7
30/07/2021,7:32,9,10.1
30/07/2021,7:32,10,10.4
2/08/2021,10:45,1,11.7
2/08/2021,10:45,2,13
2/08/2021,10:45,3,12
2/08/2021,10:45,4,12.6
2/08/2021,10:45,5,12
2/08/2021,10:45,6,11.3
2/08/2021,10:45,7,12.7
2/08/2021,10:45,8,11.4
2/08/2021,10:45,9,11.6
2/08/2021,10:45,10,12.5
4/08/2021,7:30,1,12.4
4/08/2021,7:30,2,13.4
4/08/2021,7:30,3,13.2
4/08/2021,7:30,4,13.5
4/08/2021,7:30,5,12.5
4/08/2021,7:30,6,12.1
4/08/2021,7:30,7,14.1
4/08/2021,7:30,8,12.4
4/08/2021,7:30,9,11.9
4/08/2021,7:30,10,13.2
6/08/2021,7:20,1,12.4
6/08/2021,7:20,2,14.2
6/08/2021,7:20,3,14.2
6/08/2021,7:20,4,15
6/08/2021,7:20,5,13.6
6/08/2021,7:20,6,14.5
6/08/2021,7:20,7,15
6/08/2021,7:20,8,13.3
6/08/2021,7:20,9,12.3
6/08/2021,7:20,10,14.3
9/08/2021,7:20,1,14.5
9/08/2021,7:20,2,16.7
9/08/2021,7:20,3,15.9
9/08/2021,7:20,4,16
9/08/2021,7:20,5,14.5
9/08/2021,7:20,6,15.5
9/08/2021,7:20,7,17.9
9/08/2021,7:20,8,14.2
9/08/2021,7:20,9,14.7
9/08/2021,7:20,10,15.6
11/08/2021,7:49,1,15.5
11/08/2021,7:49,2,18
11/08/2021,7:49,3,15.4
11/08/2021,7:49,4,16.2
11/08/2021,7:49,5,13.6
11/08/2021,7:49,6,15.2
11/08/2021,7:49,7,18.6
11/08/2021,7:49,8,14.7
11/08/2021,7:49,9,16.4
11/08/2021,7:49,10,16.2
13/08/2021,7:10,1,16.5
13/08/2021,7:10,2,19.1
13/08/2021,7:10,3,18.2
13/08/2021,7:10,4,19.1
13/08/2021,7:10,5,15.4
13/08/2021,7:10,6,16.2
13/08/2021,7:10,7,19.2
13/08/2021,7:10,8,16.4
13/08/2021,7:10,9,16.6
13/08/2021,7:10,10,17.6
16/08/2021,9:30,1,16.7
16/08/2021,9:30,2,19.9
16/08/2021,9:30,3,18.8
16/08/2021,9:30,4,20.9
16/08/2021,9:30,5,16.4
16/08/2021,9:30,6,17.4
16/08/2021,9:30,7,19.7
16/08/2021,9:30,8,17.2
16/08/2021,9:30,9,16.9
16/08/2021,9:30,10,18.6
18/08/2021,7:18,1,18.9
18/08/2021,7:18,2,22.1
18/08/2021,7:18,3,20.9
18/08/2021,7:18,4,22.9
18/08/2021,7:18,5,17.9
18/08/2021,7:18,6,18.8
18/08/2021,7:18,7,22
18/08/2021,7:18,8,18.9
18/08/2021,7:18,9,19.4
18/08/2021,7:18,10,20.8
20/08/2021,7:20,1,20.8
20/08/2021,7:20,2,24.7
20/08/2021,7:20,3,23.1
20/08/2021,7:20,4,24.8
20/08/2021,7:20,5,21.3
20/08/2021,7:20,6,20.7
20/08/2021,7:20,7,23.7
20/08/2021,7:20,8,21.1
20/08/2021,7:20,9,22
20/08/2021,7:20,10,23.5
23/08/2021,8:25,1,23.2
23/08/2021,8:25,2,26.8
23/08/2021,8:25,3,25
23/08/2021,8:25,4,27
23/08/2021,8:25,5,23
23/08/2021,8:25,6,22.8
23/08/2021,8:25,7,26.3
23/08/2021,8:25,8,22.8
23/08/2021,8:25,9,24.7
23/08/2021,8:25,10,26.1
25/08/2021,7:15,1,24.4
25/08/2021,7:15,2,28.8
25/08/2021,7:15,3,27.6
25/08/2021,7:15,4,28.9
25/08/2021,7:15,5,24.1
25/08/2021,7:15,6,25.3
25/08/2021,7:15,7,28.2
25/08/2021,7:15,8,24.9
25/08/2021,7:15,9,25.8
25/08/2021,7:15,10,27.1
27/08/2021,7:15,1,25.6
27/08/2021,7:15,2,29.9
27/08/2021,7:15,3,27.7
27/08/2021,7:15,4,30.4
27/08/2021,7:15,5,25.3
27/08/2021,7:15,6,26.2
27/08/2021,7:15,7,29.7
27/08/2021,7:15,8,26
27/08/2021,7:15,9,27.2
27/08/2021,7:15,10,29
30/08/2021,9:40,1,28.4
30/08/2021,9:40,2,34.4
30/08/2021,9:40,3,31.6
30/08/2021,9:40,4,32.6
30/08/2021,9:40,5,27.6
30/08/2021,9:40,6,28.6
30/08/2021,9:40,7,32
30/08/2021,9:40,8,27.7
30/08/2021,9:40,9,30.1
30/08/2021,9:40,10,32.5
1/09/2021,7:30,1,29.7
1/09/2021,7:30,2,35.1
1/09/2021,7:30,3,33.1
1/09/2021,7:30,4,35.1
1/09/2021,7:30,5,28.8
1/09/2021,7:30,6,29.3
1/09/2021,7:30,7,34.7
1/09/2021,7:30,8,29.8
1/09/2021,7:30,9,31.7
1/09/2021,7:30,10,35.6
3/09/2021,7:40,1,31
3/09/2021,7:40,2,36.1
3/09/2021,7:40,3,35
3/09/2021,7:40,4,37
3/09/2021,7:40,5,32.5
3/09/2021,7:40,6,31.8
3/09/2021,7:40,7,36.3
3/09/2021,7:40,8,32
3/09/2021,7:40,9,32.1
3/09/2021,7:40,10,34
